goos: darwin
goarch: arm64
pkg: github.com/wangle201210/ldap-go/internal/directory
cpu: Apple M1 Pro
BenchmarkDNDisplayCompare/escaped-multiava/tail-miss/suffix/string-8     	  607028	       299.3 ns/op	      96 B/op	       2 allocs/op
BenchmarkDNDisplayCompare/deep/equal/equals/direct-8                     	 1000000	       158.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/deep/equal/equals/direct-8                     	 1377778	       124.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/deep/equal/equals/string-8                     	  574887	       354.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/deep/equal/equals/string-8                     	  546468	       305.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/deep/equal/suffix/direct-8                     	 1700194	       106.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/deep/equal/suffix/direct-8                     	 1613265	       110.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/deep/equal/suffix/string-8                     	  563401	       296.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/deep/equal/suffix/string-8                     	  619923	       537.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/deep/child/equals/direct-8                     	40174831	         4.607 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/deep/child/equals/direct-8                     	39877416	         4.708 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/deep/child/equals/string-8                     	  565015	       305.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/deep/child/equals/string-8                     	  635302	       295.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/deep/child/suffix/direct-8                     	 1662878	       117.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/deep/child/suffix/direct-8                     	 1412192	       120.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/deep/child/suffix/string-8                     	  471244	       355.1 ns/op	     704 B/op	       2 allocs/op
BenchmarkDNDisplayCompare/deep/child/suffix/string-8                     	  514579	       443.3 ns/op	     704 B/op	       2 allocs/op
BenchmarkDNDisplayCompare/deep/prefix-miss/equals/direct-8               	41030316	         4.476 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/deep/prefix-miss/equals/direct-8               	39851292	         4.488 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/deep/prefix-miss/equals/string-8               	  607142	       284.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/deep/prefix-miss/equals/string-8               	  660126	       290.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/deep/prefix-miss/suffix/direct-8               	 1695733	       106.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/deep/prefix-miss/suffix/direct-8               	 1695328	       106.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/deep/prefix-miss/suffix/string-8               	  472632	       345.3 ns/op	     704 B/op	       2 allocs/op
BenchmarkDNDisplayCompare/deep/prefix-miss/suffix/string-8               	  530178	       351.8 ns/op	     704 B/op	       2 allocs/op
BenchmarkDNDisplayCompare/deep/tail-miss/equals/direct-8                 	 1621090	       110.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/deep/tail-miss/equals/direct-8                 	 1601217	       111.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/deep/tail-miss/equals/string-8                 	  635172	       287.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/deep/tail-miss/equals/string-8                 	  639516	       286.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/deep/tail-miss/suffix/direct-8                 	40115889	         4.528 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/deep/tail-miss/suffix/direct-8                 	38751344	         4.637 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/deep/tail-miss/suffix/string-8                 	  522793	       346.3 ns/op	     704 B/op	       2 allocs/op
BenchmarkDNDisplayCompare/deep/tail-miss/suffix/string-8                 	  538042	       356.9 ns/op	     704 B/op	       2 allocs/op
PASS
ok  	github.com/wangle201210/ldap-go/internal/directory	29.762s
